Thermistor 1, Thermistor 2, Thermistor 3, Thermistor 4, Thermistor 5, Thermistor 6, Thermistor 7, Thermistor 8
55.58,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.58,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.23,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-76.08
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-76.08
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.34,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.47,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-76.08
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.56,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.45,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.92,53.45,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.92,53.45,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,-67.81,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,-273.15,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-76.08
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-55.98,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-76.08
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.92,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.56,385.24,385.24,-273.15,-273.15,-273.15,-76.08
55.81,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.81,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.34,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.45,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.58,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
55.69,53.56,385.24,385.24,-273.15,-273.15,-273.15,-273.15
